reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.45,0.007031171862211936
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.45,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.45,0.007487959460836246
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.45,0.0175293747828189
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.5,0.010928360897300777
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.5,0.0026104174763851434
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.5,0.015169306774119642
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.5,0.028899709853393442
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.55,0.015043463561596682
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.55,0.008924671679871503
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.55,0.02389083970221767
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.55,0.039559785423728566
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.6,0.01652835636384221
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.6,0.011162389502600834
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.6,0.029358788321089638
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.6,0.046875119617831244
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.65,0.018255254296883138
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.65,0.013678421707188462
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.65,0.035253342184541486
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.65,0.05528037634170718
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.7,0.020065839774199776
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.7,0.01610245043432951
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.7,0.04178777937409242
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.7,0.06361556237917536
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.75,0.022018190403753055
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.75,0.02001993877196553
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.75,0.04790990700179441
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.75,0.07131875641425768
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.8,0.02366313807479013
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.8,0.024966467924138702
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.8,0.05549759263935179
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.8,0.08324808049692539
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.85,0.025930158986977012
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.85,0.02869913047283513
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.85,0.06056378189506307
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.85,0.0901995281274685
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.9,0.027364426577672678
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.9,0.031156653269433343
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.9,0.06578136984091994
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.9,0.0975135945304336
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.95,0.0302884621457532
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.95,0.0432616142745285
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.95,0.0830991811809195
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.95,0.11919527312239282
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.975,0.03694482840245386
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.975,0.06478380463401467
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.975,0.10909597191251254
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.975,0.16160047106599917
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.99,0.0640728311762897
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.99,0.11055587906321389
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.99,0.19207225754393298
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.99,0.2526137294290464
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.01,0
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.01,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.01,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.01,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.025,0
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.025,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.025,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.025,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.05,0
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.05,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.05,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.05,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.1,0
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.1,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.1,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.1,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.15,0
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.15,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.15,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.15,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.2,19
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.2,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.2,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.2,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.25,28
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.25,0
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.25,0
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.25,0
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.3,47
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.3,17
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.3,46
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.3,66
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.35,61
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.35,37
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.35,84
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.35,123
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.4,74
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.4,62
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.4,124
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.4,172
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.45,86
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.45,87
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.45,161
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.45,218
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.5,94
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.5,101
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.5,191
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.5,257
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.55,111
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.55,122
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.55,220
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.55,292
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.6,117
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.6,131
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.6,243
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.6,327
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.65,120
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.65,137
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.65,259
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.65,359
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.7,126
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.7,146
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.7,279
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.7,386
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.75,137
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.75,160
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.75,311
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.75,430
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.8,144
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.8,171
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.8,337
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.8,471
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.85,155
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.85,189
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.85,367
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.85,512
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.9,158
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.9,198
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.9,400
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.9,565
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.95,222
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.95,283
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.95,511
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.95,715
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.975,381
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.975,470
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.975,860
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.975,1114
2025-11-15,wk inc flu hosp,0,2025-11-15,01,quantile,0.99,400
2025-11-15,wk inc flu hosp,1,2025-11-22,01,quantile,0.99,513
2025-11-15,wk inc flu hosp,2,2025-11-29,01,quantile,0.99,1085
2025-11-15,wk inc flu hosp,3,2025-12-06,01,quantile,0.99,1386
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.4,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.4,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.4,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.4,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.45,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.45,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.45,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.45,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.5,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.5,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.5,6.405859990471531e-4
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.5,0.0013308850462863857
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.55,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.55,8.457096129895021e-4
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.55,0.0029376186563567206
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.55,0.004162393675543148
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.6,8.385267219453716e-4
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.6,0.003650082662368718
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.6,0.006363370849121217
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.6,0.008037226174654683
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.65,0.0013833274829943565
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.65,0.00435557200464423
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.65,0.007448106125798052
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.65,0.0096310743888624
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.7,0.0016942611966308634
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.7,0.004862341757963204
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.7,0.00847406091831131
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.7,0.011191560789727346
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.75,0.0021026277567025237
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.75,0.005657612930115621
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.75,0.00974945839803425
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.75,0.012683804873205098
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.8,0.002581053159931407
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.8,0.006409217881977267
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.8,0.011211393100143224
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.8,0.014394755986986807
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.85,0.0032707397039733153
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.85,0.007463618760960752
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.85,0.012838054940715753
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.85,0.016795003289913017
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.9,0.00423926460983318
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.9,0.00977230641829831
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.9,0.01609141385703353
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.9,0.02078607237927127
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.95,0.005358916956469036
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.95,0.012768786254144203
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.95,0.02112579259233926
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.95,0.027254005017410658
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.975,0.006090067784925053
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.975,0.015135897721161928
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.975,0.0242721635998684
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.975,0.032044934607102414
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,02,quantile,0.99,0.007733533399738895
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,02,quantile,0.99,0.02220330333151449
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,02,quantile,0.99,0.03664184465811299
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,02,quantile,0.99,0.048315785734055164
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.01,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.01,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.01,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.01,0
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.025,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.025,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.025,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.025,0
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.05,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.05,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.05,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.05,0
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.1,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.1,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.1,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.1,0
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.15,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.15,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.15,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.15,0
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.2,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.2,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.2,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.2,0
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.25,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.25,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.25,0
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.25,2
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.3,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.3,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.3,2
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.3,5
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.35,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.35,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.35,4
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.35,7
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.4,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.4,0
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.4,5
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.4,9
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.45,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.45,2
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.45,7
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.45,11
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.5,0
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.5,3
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.5,8
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.5,13
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.55,1
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.55,4
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.55,10
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.55,15
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.6,2
2025-11-15,wk inc flu hosp,1,2025-11-22,02,quantile,0.6,6
2025-11-15,wk inc flu hosp,2,2025-11-29,02,quantile,0.6,12
2025-11-15,wk inc flu hosp,3,2025-12-06,02,quantile,0.6,17
2025-11-15,wk inc flu hosp,0,2025-11-15,02,quantile,0.65,2
